epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8065,1.81733,3.71864,1.54062,0.00333,1,0.87798,0.41261,1.27164,3.5658,1.02648,0.00026,0.00026,0.00026
2,126.994,1.50262,2.39616,1.24714,0.00328,0.98333,0.55174,0.28391,1.16232,3.6748,1.05482,0.000529308,0.000529308,0.000529308
3,185.12,1.3898,1.79106,1.19728,0.00328,0.98333,0.54732,0.35736,1.33531,3.59991,1.17008,0.000787528,0.000787528,0.000787528
4,241.951,1.36031,1.57863,1.17739,1,0.14385,0.6134,0.3387,1.39566,3.58527,1.23243,0.00103466,0.00103466,0.00103466
5,298.78,1.38522,1.53857,1.19198,0.97796,0.73967,0.94962,0.57045,1.27361,2.71417,1.20891,0.0012707,0.0012707,0.0012707
6,355.81,1.3179,1.5372,1.16434,0.84257,0.9,0.91738,0.49802,1.37899,2.21567,1.21294,0.00149566,0.00149566,0.00149566
7,414.9,1.34474,1.44963,1.21556,0.95132,0.93333,0.98586,0.62502,1.23668,1.59464,1.21729,0.00170953,0.00170953,0.00170953
8,472.272,1.40821,1.49615,1.20541,0.98125,0.87252,0.97614,0.60872,1.31626,2.05222,1.16551,0.0017228,0.0017228,0.0017228
9,529.439,1.33502,1.30223,1.16406,0.96653,0.98333,0.9828,0.66898,1.16234,1.47254,1.09652,0.0016832,0.0016832,0.0016832
10,586.275,1.35422,1.23769,1.18018,1,0.94596,0.98778,0.6977,1.06541,1.30754,1.05172,0.0016436,0.0016436,0.0016436
11,642.572,1.32559,1.17674,1.17124,0.98298,0.96255,0.98523,0.68161,1.12085,1.17334,1.06655,0.001604,0.001604,0.001604
12,699.624,1.34591,1.07652,1.16668,0.91719,0.96667,0.95719,0.61492,1.28638,1.36027,1.24563,0.0015644,0.0015644,0.0015644
13,756.166,1.28747,1.16686,1.1806,0.99686,0.98333,0.9925,0.69123,1.07132,1.0338,1.05708,0.0015248,0.0015248,0.0015248
14,812.464,1.29254,0.99931,1.11077,0.9985,0.98333,0.99468,0.70843,1.09757,0.87978,1.053,0.0014852,0.0014852,0.0014852
15,868.464,1.18605,1.03213,1.14792,0.99837,0.98333,0.99396,0.68543,1.11694,0.97629,1.04797,0.0014456,0.0014456,0.0014456
16,924.981,1.28971,0.97844,1.18751,0.99876,1,0.995,0.7057,1.07004,0.95191,1.02955,0.001406,0.001406,0.001406
17,980.758,1.2685,0.92888,1.13493,0.98349,0.99311,0.99451,0.71788,1.02392,0.99793,1.03858,0.0013664,0.0013664,0.0013664
